ingredient,category,unit_base,notes
Sliced Tomatoes,Other,g,Vegetable ingredient
Smoked Salmon,Other,g,Protein
Smoked salmon,Other,g,Protein
Sprint Base (Assorted Flavors),Other,ml,Energy drink base
Standard Espresso Shot,Coffee,g,"Shot: 28g Standard, 42.5g Lungo"
Strawberry Fruit Fusion,Other,g,Fruit ingredient
Strawberry Fruit Puree,Other,g,Fruit ingredient
Sweet Potato Puree,Other,g,Vegetable puree
Sweetner syrup (optional),Other,pump,Flavor syrup - not core supply
Syrup (Customer's Choice),Other,pump,Auto-classified - flavoring
Syrup (Optional),Other,pump,Flavor syrup - not core supply
Tapioca Pearls,Other,g,Boba topping
Taro Powder,Other,g,Taro flavoring powder
Tea Bag,Other,bag,Tea ingredient
Turkey Bacon,Other,g,Protein
Turkey Sausage Patty,Other,g,Protein
Vanilla Gelato,Other,g,Ice cream product
Vanilla Powder,Other,g,Vanilla flavoring
Vanilla Syrup,Other,pump,Flavor syrup
Water,Other,ml,Water - typically excluded from supply calc
Water for Cooking,Other,ml,Water - typically excluded from supply calc
Watermelon Fruit Fusion,Other,ml,Water - typically excluded from supply calc
Whey Protein (Add On),Other,g,Protein supplement add-on
Whipped Cream,Dairy,ml,Optional topping
Whipped Cream (Optional),Dairy,ml,Optional topping
White Chocolate Sauce,Other,pump,Topping sauce
White Lotus,Other,ml,Energy drink ingredient
White Lotus* (Not for Kids),Other,ml,Energy drink ingredient
